detected_at,timeframe,zone_type,zone_top,zone_bottom,zone_height,atr_at_detection,close_at_detection,trend_1h,strength_1h,trend_5m,strength_5m,zone_5m_nearby,level_1h_nearby,confluence_score,result,move_favor,move_against,move_pips
2025-03-17T14:45:00+01:00,15m,supply,2998.27,2992.05,6.23,7.63,2983.9,,,bullish,0.011,False,False,0,broke,0.15,16.73,-16.73
2025-03-18T13:00:00+01:00,15m,demand,3013.26,3001.59,11.67,11.54,3024.23,bearish,0.421,bullish,0.708,False,False,0,respected,14.11,12.59,14.11
2025-03-18T13:15:00+01:00,15m,demand,3013.26,3001.59,11.67,11.36,3020.06,,,bearish,0.075,False,False,0,respected,18.28,8.42,18.28
2025-03-18T13:30:00+01:00,15m,demand,3014.41,3006.54,7.87,11.22,3024.0,,,bearish,0.259,False,False,0,respected,14.34,12.36,14.34
2025-03-18T13:45:00+01:00,15m,demand,3014.41,3006.54,7.87,9.75,3024.47,,,bearish,0.384,False,False,0,respected,13.87,12.83,13.87
2025-03-18T14:00:00+01:00,15m,demand,3018.16,3009.16,9.0,9.34,3031.48,bullish,0.287,bullish,0.23,False,False,1,respected,6.86,19.84,6.86
2025-03-18T14:15:00+01:00,15m,demand,3018.16,3009.16,9.0,9.54,3019.99,,,bullish,0.485,False,False,0,respected,18.35,8.35,18.35
2025-03-18T14:45:00+01:00,15m,demand,3018.15,3006.02,12.13,10.18,3030.33,,,bullish,0.237,False,False,0,respected,8.01,16.12,8.01
2025-03-18T15:00:00+01:00,15m,demand,3018.16,3009.16,9.0,10.09,3020.85,bullish,0.369,bullish,0.378,False,False,1,respected,17.49,6.64,17.49
2025-03-18T15:15:00+01:00,15m,demand,3018.16,3009.16,9.0,9.26,3031.06,,,bearish,0.274,False,False,0,respected,7.28,16.85,7.28
2025-03-18T15:30:00+01:00,15m,demand,3018.16,3009.16,9.0,8.9,3026.26,,,bearish,0.73,False,False,0,respected,12.08,12.05,12.08
2025-03-18T15:45:00+01:00,15m,demand,3018.16,3009.16,9.0,8.94,3023.0,,,bearish,0.214,False,False,0,respected,15.34,8.79,15.34
2025-03-18T16:00:00+01:00,15m,demand,3018.16,3009.16,9.0,8.75,3026.48,bullish,0.126,bullish,0.169,False,False,1,respected,11.86,12.27,11.86
2025-03-19T13:45:00+01:00,15m,demand,3035.76,3026.61,9.15,7.98,3042.16,,,bullish,0.125,True,False,1,broke,9.86,19.23,-19.23
2025-03-19T14:30:00+01:00,15m,demand,3035.76,3026.61,9.15,8.26,3044.19,,,bearish,0.295,True,False,1,respected,7.83,15.0,7.83
2025-03-19T16:00:00+01:00,15m,demand,3036.18,3030.67,5.51,7.45,3044.05,bearish,0.024,bullish,0.31,True,False,1,respected,7.97,9.06,7.97
2025-03-19T16:15:00+01:00,15m,demand,3036.18,3030.67,5.51,7.47,3046.05,,,bullish,0.027,True,False,1,respected,5.97,12.15,5.97
2025-03-19T16:45:00+01:00,15m,demand,3036.18,3030.67,5.51,8.27,3046.46,,,bullish,0.082,True,False,1,respected,5.56,12.56,5.56
2025-03-19T17:00:00+01:00,15m,demand,3036.18,3030.67,5.51,8.89,3037.98,bullish,0.335,bullish,0.111,True,False,2,respected,14.04,4.08,14.04
2025-03-19T17:15:00+01:00,15m,demand,3036.18,3030.67,5.51,8.89,3045.85,,,bearish,0.398,False,False,0,respected,6.17,11.95,6.17
2025-03-19T17:30:00+01:00,15m,demand,3036.18,3030.67,5.51,8.16,3037.67,,,bearish,0.026,False,False,0,respected,14.35,3.77,14.35
2025-03-19T18:15:00+01:00,15m,demand,3036.18,3030.67,5.51,6.75,3052.02,,,bearish,0.015,False,False,0,respected,0.0,18.12,0.0
2025-03-19T18:30:00+01:00,15m,demand,3036.18,3030.67,5.51,7.1,3042.18,,,bearish,0.183,False,False,0,respected,3.71,8.28,3.71
2025-03-21T13:30:00+01:00,15m,supply,3041.09,3026.64,14.45,13.81,3012.05,,,bearish,0.009,False,True,1,broke,11.82,35.45,-35.45
2025-03-21T13:45:00+01:00,15m,supply,3041.09,3026.64,14.45,14.04,3022.8,,,bearish,0.417,False,True,1,broke,22.56,24.7,-24.7
